"Country","Country Code","Social Progress Index","Basic Human Needs","Foundations of Wellbeing","Opportunity","Nutrition and Basic Medical Care","Water and Sanitation","Shelter","Personal Safety","Access to Basic Knowledge","Access to Information and Communications","Health and Wellness","Environmental Quality","Personal Rights","Personal Freedom and Choice","Tolerance and Inclusion","Access to Advanced Education","Undernourishment","Depth of food deficit","Maternal mortality rate","Child mortality rate","Deaths from infectious diseases","Access to piped water","Rural access to improved water source","Access to improved sanitation facilities","Availability of affordable housing","Access to electricity","Quality of electricity supply","Household air pollution attributable deaths","Homicide rate","Level of violent crime","Perceived criminality","Political terror","Traffic deaths","Adult literacy rate","Primary school enrollment","Lower secondary school enrollment","Upper secondary school enrollment","Gender parity in secondary enrollment","Mobile telephone subscriptions","Internet users","Press Freedom Index","Life expectancy at 60","Premature deaths from non-communicable diseases","Obesity rate","Suicide rate","Outdoor air pollution attributable deaths","Wastewater treatment","Biodiversity and habitat","Greenhouse gas emissions","Political rights","Freedom of speech","Freedom of assembly/association","Freedom of movement","Private property rights","Freedom over life choices","Freedom of religion","Early marriage","Satisfied demand for contraception","Corruption","Tolerance for immigrants","Tolerance for homosexuals","Discrimination and violence against minorities","Religious tolerance","Community safety net","Years of tertiary schooling","Women's average years in school","Inequality in the attainment of education","Globally ranked universities","Percentage of tertiary students enrolled in globally ranked universities","Depth of food deficit - capped","Adult literacy rate - capped","Lower secondary school enrollment - capped","Upper secondary school enrollment - capped","Gender parity in secondary enrollment - difference from parity","Mobile telephone subscriptions - capped","Greenhouse gas emissions - capped","Globally ranked universities - bucketed","Percentage of tertiary students enrolled in globally ranked universities - bucketed"
"Costa Rica","CRI",80.12,87.43,81.45,71.48,97.42,93.77,82.64,75.88,96.67,82.39,71.63,75.12,88.63,76.37,68.70,52.21,5,35,25.1495833691231,9.7,30.50013,97.4868529,91.8858679,94.5223953,0.451693191969219,99.5,5.60039847296786,5.566938198,8.38567116163124,2,3,2,13.9,97.75527,96.13191,133.30969,101.95306,1.05479,143.828359244231,49.41,12.26,23.49632,12.24601,0.22,6.917995977,11.308573126,3.8912,90.52,198.915962104197,1,2,2,4,50,0.8960347804268,3,0.13,89.1,55,0.706386008632972,0.502948696492995,4.7,4,0.869740540289929,0.767187714576721,10.92,0.1551065,3,0.231998929647383,35,97.8,100.0,100.0,0.055,100.0,198.9,2,4
"Poland","POL",79.76,90.97,80.15,68.16,99.18,97.16,79.94,87.59,97.85,86.59,59.29,76.88,82.02,71.49,52.20,66.95,5,8,3.10573880088193,5.2,22.57865,98.2181037,96.8797086,97.210427,0.29389734345993,100,5.49516200835002,0,0.781863333308981,2,2,1,10.3,99.79141,96.94361,100.21169,116.05313,0.96486,148.88670210677,66.6,12.71,21.43814,19.95129,0.198,16.40100595,37.679450606,57.17602,99.76,424.541366686087,1,1,2,4,65,0.728856089466219,4,0.02,60.7,62,0.36432985088295,0.26823204588506,4.4,3,0.862786091088377,0.769246757030487,14.78,0.0559326,10,0.256007984367626,8,99,100.0,100.0,0.035,100.0,424.5,5,4
"Slovakia","SVK",78.96,93.40,80.85,62.61,98.79,99.01,87.11,88.69,95.13,90.40,61.02,76.86,78.61,64.13,50.22,57.50,5,8,5.63701648028598,7.3,35.34984,97.786287,100,98.8240692,0.513479515519836,100,6.17670095992994,0,1.43454216215719,2,2,1,6.6,99.6192,,96.96792,86.46209,1.01501,116.940134070288,79.98,11.66,20.66123,19.40348,0.197,12.02804116,45.415891203,54.693412,100,292.621788644496,1,1,2,4,50,0.508155406460293,3,0.01,73.7,51,0.333929414467563,0.291461950573468,5.9,3,0.923423066264135,0.63007003068924,13.98,0.0153767,2,0.115918928334518,8,99,97.0,86.5,0.015,100.0,292.6,2,3
"Greece","GRC",78.27,90.62,83.18,60.99,99.22,99.67,82.43,81.17,97.47,78.66,75.36,81.23,64.29,58.39,53.62,67.67,5,8,3.20355460892858,4.6,24.11475,100,100,98.9755554,0.495035164132407,100,5.18769188150328,0,1.37368999131382,2.5,3,1,9.1,97.68686,97.17147,103.61142,112.54713,0.95987,110.264463799122,63.21,31.01,24.2984,12.88024,0.194,3.322668355,33.15577926,77.6235665,94.82,359.691040849013,2,1,1,4,40,0.517758252419452,3,0.04,58.6,46,0.566386683432119,0.381928625607197,5,2,0.83391836206767,1.27886641025543,13.88,0.1162377,7,0.394311101133957,8,97.7,100.0,100.0,0.040,100.0,359.7,4,4
"Croatia","HRV",77.68,91.54,79.51,62.00,99.32,98.76,84.91,83.16,94.61,81.91,62.42,79.12,75.20,65.20,48.53,59.09,5,8,8.47980866190706,4.3,12.18961,99.6371177,99.6633292,96.9766935,0.529032743645111,100,5.60577892079765,0,1.07105978758183,2,3,1,9.2,99.27412,88.98913,101.81455,97.66267,1.03919,104.431321400248,68.57,26.12,21.67408,17.72929,0.199,14.00073045,32.673887488,50.22907,98.96,272.504932602663,1,1,2,4,35,0.660630891059767,4,0.02,55.3,51,0.463827339131523,0.352867719308694,5.7,3,0.730995458203217,0.71733283996582,12.57,0.0433104,1,0.460871389607665,8,99,100.0,97.7,0.039,100.0,272.5,1,5
"Lithuania","LTU",76.94,88.09,77.07,65.65,99.06,91.19,81.01,81.09,98.03,85.64,48.71,75.91,73.43,69.36,54.05,65.76,5,8,9.90906094428812,5.2,25.50468,93.1193687,90.3822719,92.3959201,0.3364445778019,100,5.55512820012642,0,6.76241660726318,2,3,1,10.6,99.81988,97.99392,103.66719,109.51261,0.95884,147.043250860041,72.13,18.8,20.2098,22.38482,0.218,28.13998636,41.11061109,46.820228,98.55,305.905654896925,1,1,1,4,65,0.579225810970044,4,0,69.3,61,0.378882938075072,0.166566277548283,4.3,4,0.853893614788385,1.05414044857025,14.17,0.0585483,4,0.28395378690629,8,99,100.0,100.0,0.041,100.0,305.9,3,4
"Hungary","HUN",76.88,90.84,77.29,62.52,99.00,98.89,85.82,79.63,96.74,83.32,51.70,77.39,65.43,66.38,53.47,64.78,5,8,16.5837134534131,5.9,16.83285,98.3435835,100,97.9895365,0.548602723305132,100,5.72797898952275,0,2.66571853535953,2,3,2,7.7,99.05043,90.85139,101.44347,114.12653,1.0023,118.053828318504,76.13,27.44,20.02804,24.01077,0.234,18.7562663,41.962872504,51.0991787744159,100,271.241300783615,2,1,1,4,45,0.512387398530572,3,0.01,82.6,51,0.435079422288533,0.350602238451138,4.7,3,0.822304917823553,0.768818616867065,13.91,0.0318778,7,0.403645833333333,8,99,100.0,100.0,0.002,100.0,271.2,4,4
"Latvia","LVA",76.19,89.37,80.61,58.58,98.67,93.18,83.43,82.22,98.23,86.85,52.27,85.10,66.57,68.75,41.64,57.38,5,8,18.2874563216813,7.9,26.00504,92.4930133,98.3004291,87.7892703,0.462082859116415,100,5.55838525959208,0,3.45432195341935,2,3,1,10,99.89138,97.82903,111.29013,109.86454,0.96724,116.799135372844,75.83,18.12,19.69281,24.14147,0.221,17.73916062,37.402483354,94.23,97.81,284.225704977847,2,1,1,4,50,0.610308235142244,3,0.01,75.3,55,0.196072982289243,0.196055421521758,7.4,4,0.841694297392255,0.777290463447571,14.44,0.034944,1,0.136206787052522,8,99,100.0,100.0,0.033,100.0,284.2,1,3
"Israel","ISR",75.32,88.85,83.33,53.78,99.17,100,82.11,74.10,98.18,80.33,74.96,79.86,37.76,70.19,34.02,73.15,5,8,5.24146497386303,4,31.22353,100,100,100,0.27111989401288,100,6.09198768369613,0,1.74935531390769,2,3,4,3.6,,96.87254,103.3038,99.65771,1.0198,121.450652618278,71.45,32.09,24.89846,9.47646,0.232,6.90591618,23.155566562,94.27076,71.29,388.921556254219,1,0,0,0,75,0.725205390999169,2,0.03,67.3,61,0.401242804303918,0.344241813440706,9.7,1,0.857189508704609,1.31403744220734,15.68,0.09907,7,0.267655474984006,8,,100.0,99.7,0.020,100.0,388.9,5,4
"Argentina","ARG",75.20,82.48,76.04,67.08,97.29,98.31,66.59,67.75,94.89,80.93,64.62,63.73,67.20,67.11,74.33,59.67,5,2,52.3876611697131,12.5,68.73297,98.2382623,99.9503951,96.3550679,0.301091410146989,99.8,2.56034629821777,5.05028321,7.03363374703818,3,4,2,13.6,98.08516,99.51954,128.423,83.84784,1.07585,158.798561112357,64.7,26.11,21.51349,17.47712,0.208,9.11559657,15.183747778,7.67,69.72,,2,1,2,4,15,0.864202874053988,4,0.13,75.2,32,0.767847644728927,0.651811793051457,5,4,0.922887093212618,0.302637368440628,13,0.08098,16,0.237835555165412,8,98.1,100.0,83.8,0.076,100.0,,6,4
"United Arab Emirates","ARE",73.69,89.91,77.59,53.56,98.49,93.38,88.42,79.37,93.17,83.36,60.09,73.73,25.62,74.15,58.96,55.49,5,18,6.10030295420311,6.8,35.62644,78.7448148,99.9900346,97.5571069,0.512219581521866,97.69783,6.60228511360939,0.002457081818,0.61366772491646,1,3,3,10.9,93.83585,90.73824,100,87,,178.061544689901,90.4,36.73,19.79168,18.90891,0.29,4.684265155,62.739494983,87.141,89.41,411.81237650724,6,0,0,2,55,0.904787765580685,2,0.07,56.9,70,0.843515552939889,,3.9,3,0.815518101346551,0.42725995182991,13.18,,6,0.269152803019712,18,93.8,100.0,87.0,,100.0,411.8,3,4
"Mauritius","MUS",73.24,89.44,72.84,57.46,96.32,97.64,81.02,82.77,94.14,74.40,61.48,61.34,62.27,69.67,67.21,30.69,5,35,53.3580178306572,13.5,61.77197,99.8494712,99.8180558,93.1491463,0.366187922756802,100,5.53449990173866,4.000786914,2.74884326250064,2,2,2,12.2,90.62253,96.1962,112.42863,87.14506,1.02127,132.249824080515,41.44,27.69,20.21792,24.00981,0.131,9.459876861,27.20487297,4.2,55.45,264.0181684281,1,0,1,4,60,0.808120678140074,4,0.1,65.4,53,0.814649150296213,0.329639977875015,3.8,4,0.779577488421127,0.174052059650421,10.36,0.1317,0,0,35,90.6,100.0,87.1,0.021,100.0,264.0,0,0
"Panama","PAN",73.02,81.21,78.54,59.31,92.67,84.43,76.84,70.91,88.05,74.79,74.36,76.97,70.61,64.07,61.52,41.04,9.5,66,94.4862369069178,17,86.14526,92.132509,88.6225302,74.9922891,0.474907123922055,90.87544,4.82658869211147,12.810514725,17.1524218582299,3,3,2,10,95.04833,95.89735,93.59704,57.23139,1.06322,158.054282495466,44.92,28.98,23.5701,12.4512,0.152,7.293265028,4.687439532,13.32,87.93,238.522036614296,2,1,2,4,30,0.81989712613015,4,0.22,75,39,0.58101415315675,0.398669007544357,5.6,4,0.880796791424717,0.893690228462219,12.46,0.16602,0,0,66,95.0,93.6,57.2,0.063,100.0,238.5,0,0
"Romania","ROU",72.23,84.26,74.91,57.52,98.04,82.96,76.45,79.60,93.81,78.69,59.40,67.72,63.16,68.03,43.33,55.58,5,8,31.3806334590784,11.1,38.53032,62.698224,100,79.0765515,0.335361661600506,100,4.51719075314826,0,1.54766988567151,2,3,2,8.7,98.76871,86.987,94.72208,101.13253,0.98336,105.914150019538,54.08,24.9,19.80371,22.55017,0.194,9.052622184,47.671691558,15.39138,95.77,338.890105310533,2,1,1,4,35,0.768855932231547,2,0.03,69,46,0.559935538568092,0.209671295843289,6.8,2,0.771397092565342,0.437856256961823,13.8,0.0467028,4,0.176104128886351,8,98.8,94.7,100.0,0.017,100.0,338.9,3,3
"Bulgaria","BGR",72.14,87.18,74.81,54.42,98.43,94.70,79.73,75.87,95.61,75.96,57.84,69.84,62.02,54.62,47.51,53.54,5,8,10.8490310236781,10.4,33.43333,99.0819163,98.9825688,85.9820705,0.547213075064336,100,4.34192406205826,0,1.50018314357044,3,3,2,8.3,98.38898,94.92968,93.14579,108.1459,0.96525,137.706595342242,55.49,32.91,19.6997,24.0459,0.186,10.39260937,51.148647389,60.8093964,88.98,531.55133854499,2,1,1,4,30,0.529268166076604,2,0.09,59.2,41,0.388374098447473,0.257840022685943,5.2,2,0.875062471485809,0.846061766147614,13.62,0.0551671,1,0.074660952932289,8,98.4,93.1,100.0,0.035,100.0,531.6,1,2
"Jamaica","JAM",71.94,74.32,75.94,65.57,93.47,81.37,75.33,47.11,85.51,80.54,67.47,70.21,82.91,74.12,63.63,41.62,8.1,58,88.5669001612516,15.7,96.97757,71.5191826,89.4250228,81.7844748,0.43531814773145,92.63344,4.50081300735474,10.64509777,42.8813591301353,5,4,3,11.5,88.69002,,86.10684,78.66416,1.08082,107.383531088091,40.5,11.18,21.18815,17.02184,0.216,2.952282852,20.69292904,5.5,90.47,382.783838295843,2,2,2,4,40,0.806271593167815,4,0.01,83.1,41,0.718688099300954,0.14358640447544,3.9,4,0.859804667305414,0.555756330490112,12.81,0.0560595,0,0,58,88.7,86.1,78.7,0.081,100.0,382.8,0,0
"Kuwait","KWT",71.84,89.57,74.42,51.54,97.69,97.65,78.32,84.62,91.57,82.66,59.59,63.84,35.39,68.09,51.47,51.23,5,21,4.11794062668462,8.6,82.48296,,99.0003702,100,0.307043295595817,97.69783,5.25176245751588,2.277648961,1.94855128246778,1,2,2,18.7,96.15905,92.12459,98.60423,84.57665,1.07928,218.430285244086,78.7,30.84,21.11066,11.80245,0.491,1.863045927,46.017107194,43.1,87.12,756.416013955712,5,0,1,2,45,0.825401239279249,2,0.05,61.7,49,0.685818798477954,,4.7,2,0.794659727594558,0.222853064537048,12.51,,1,0.518401916808291,21,96.2,98.6,84.6,0.079,100.0,756.4,1,5
"Brazil","BRA",71.70,75.90,77.65,61.55,96.66,86.63,72.49,47.81,95.67,76.87,65.85,72.19,65.43,72.59,61.91,46.27,5,10,43.6669334136451,16.4,92.77389,93.7021238,86.9604601,82.7756729,0.379081349037454,99.5,3.78015901145444,12.332195007,26.5425401365802,4,4,4,23.4,92.58371,95,100,95.31568,,138.951490610451,57.6,31.93,21.67468,19.41218,0.164,8.301867654,25.383855171,17.556,92.62,355.859409491255,2,1,1,4,45,0.791144406927078,4,0.04,86.8,38,0.694892452773059,0.631877069095672,5.9,2,0.899993343951253,0.379959642887115,9.6,0.2356,24,0.086674466786946,10,92.6,100.0,95.3,,100.0,355.9,7,2
"Serbia","SRB",71.55,88.67,71.32,54.64,98.89,96.66,79.17,79.97,96.13,77.48,55.42,56.27,70.32,49.18,43.75,55.32,5,8,16.8513916313045,6.7,19.35223,93.8895674,98.9111068,96.4266986,0.456089900918669,100,4.61107292175293,0,1.4502361390539,2,3,2,7.7,98.10805,96.24177,99.1817,89.84195,1.02217,122.132822025314,53.5,27.66,18.94268,24.53158,0.178,12.98213883,32.10533958,6.40541333333333,61.46,624.238248780867,2,1,2,3,50,0.493915771811092,3,0.05,31.2,40,0.538067343800144,0.196202706278337,8.1,3,0.800045460319695,0.544547975063324,13,0.0812667,1,0.399270325471077,8,98.1,99.2,89.8,0.022,100.0,624.2,2,4
"Colombia","COL",70.84,74.31,77.34,60.86,93.89,78.40,76.31,48.62,90.85,72.83,73.63,72.06,63.12,66.17,59.96,54.20,8.8,62,64.3258285688824,15.9,54.99818,87.8547038,73.8162971,81.0978463,0.416521516905209,97,4.96086957454681,24.835111844,31.8415370562598,4,4,4,16.8,94.67554,93.28871,109.74832,82.35626,1.10321,113.081145429323,52.57,39.08,24.1342,12.44183,0.189,7.077066539,22.341558853,12.243,87.99,277.543256262215,3,1,1,4,50,0.781873306151508,4,0.17,83,37,0.745054987020846,0.579038457109335,8,3,0.887167344181448,0.900561332702637,10.81,0.21256,10,0.132097324579766,62,94.7,100.0,82.4,0.103,100.0,277.5,5,3
"Peru","PER",70.09,75.93,79.35,54.98,93.80,72.06,73.71,64.15,94.65,72.72,74.24,75.81,64.29,60.71,53.16,41.75,7.5,50,68.3639525081779,16.9,121.27342,78.2463924,69.2493232,76.1934462,0.426191959306559,91.2,4.73937639539892,28.871061917,6.65368139378238,3,4,3,13.9,94.47953,92.81158,100.32442,88.48266,0.99756,103.610657544261,40.2,31.21,22.7245,11.2173,0.17,5.520349122,19.575226597,34.6464,84.59,269.640091369131,2,1,1,4,40,0.785246305574123,3,0.16,63.5,36,0.603250734434757,0.345375984216192,7.5,4,0.792701275230857,0.739725828170776,11.57,0.23289,3,0.049812275121239,50,94.5,100.0,88.5,0.002,100.0,269.6,2,1
"Malaysia","MYS",70.08,88.45,73.31,48.48,97.24,94.48,87.06,75.02,88.39,75.00,63.14,66.71,32.52,60.84,45.72,54.84,5,14,39.810018000627,7,117.35966,96.4133872,92.9907571,96.0120812,0.612424255270026,100,5.77932983776034,1.708888591,1.90975792580484,3,2,2,24,94.6446,97.031212,91.59426,56.12563,,148.829848890429,67.5,43.29,18.77471,19.62559,0.142,7.516689957,41.895762998,19.5888,90.85,449.538769100673,4,0,0,2,55,0.662409819673569,1,0.06,57.6,50,0.407910039126324,0.209723075944575,6.2,3,0.808023205085903,0.604765295982361,11.93,,8,0.184072647624813,14,94.6,91.6,56.1,,100.0,449.5,5,3
"Mexico","MEX",70.02,78.15,72.91,59.00,96.81,89.42,76.46,49.91,89.80,62.58,64.86,74.38,71.70,61.77,48.36,54.18,5,29,37.8480704871595,13.2,57.03618,92.328409,92.1359485,85.1572109,0.39223364256986,99.1,4.70648505039479,14.299732954,18.9142579020037,5,4,4,12.3,94.38968,95.61474,111.18378,62.5214,1.06611,82.2200092302685,44.39,43.69,21.41908,15.74976,0.272,5.496125898,16.070968085,39.7229963333333,78.66,367.104681740633,3,1,2,4,50,0.706717389865561,3,0.17,81,35,0.535598269856757,0.479892079674647,6.4,2,0.752839561649726,0.704680442810059,10.77,0.1974609,14,0.199791658334212,29,94.4,100.0,62.5,0.066,82.2,367.1,6,3
"Albania","ALB",69.78,86.13,74.13,49.07,97.70,90.65,83.37,72.80,94.65,78.73,66.90,56.24,63.46,52.83,47.30,32.70,5,8,28.5968451651504,14,46.46759,81.967769,95.2322831,93.2337102,0.650534180086339,100,4.72438604514916,0,4.02882286036794,3,3,2,15.1,97.62414,95.51731,98.62413,93.92742,0.92582,105.469965746985,60.1,28.77,18.90358,18.80816,0.102,5.159633391,48.751458735,5.136225,54.12,257.694735741645,3,1,2,3,35,0.689640688549069,4,0.07,24,36,0.518778415667354,0.117235794253105,5,4,0.636446884805776,0.073287516832352,12.26,0.119,0,0,8,97.6,98.6,93.9,0.074,100.0,257.7,0,0
"Ecuador","ECU",69.56,78.36,77.09,53.23,91.90,79.66,77.88,63.99,94.66,72.49,72.13,69.10,55.16,61.30,58.64,37.84,10.9,70,63.7793635099994,21.6,97.30908,85.305008,75.5155497,84.6886274,0.464794512595247,97.2,4.57758617401123,5.549822266,12.4125830175652,3,4,2,20.1,94.45504,94.66526,116.1984,92.1486,1.04059,103.899164782894,43,33.65,22.43367,11.91679,0.134,10.70260158,22.172022315,0,88.91,346.763326773019,3,1,1,4,15,0.789080637247048,4,0.22,75.1,32,0.707285014216824,0.419534582961318,7.8,4,0.851929155027886,0.382758527994156,11.24,0.2105,2,0.046546267307053,70,94.5,100.0,92.1,0.041,100.0,346.8,2,1
"Georgia","GEO",69.17,85.71,71.83,49.97,95.51,90.16,74.65,82.49,98.29,76.29,59.24,53.51,70.87,57.12,25.93,45.95,7.4,55,36.0557936311841,11.9,39.31093,80.4477598,100,86.2561853,0.610201600471015,100,4.93614669799805,74.971487505,4.26096811929982,2,2,2,11.8,99.7609,99.00432,108.82591,91.47105,1.00334,124.935540091449,48.9,27.7,19.78068,21.59142,0.251,5.910562552,59.622166749,0,70.31,472.991145923317,3,2,1,4,40,0.58720153992951,3,0.14,53.6,52,0.471660060153978,0.067623936643197,7.8,2,0.493075914737166,,14.57,0.03305,0,0,55,99,100.0,91.5,0.003,100.0,473.0,0,0
"Montenegro","MNE",68.17,85.59,70.31,48.63,99.22,93.96,74.59,74.59,94.35,76.69,53.30,56.87,60.84,44.31,46.47,42.89,5,8,7.15852410611094,4.7,18.69559,84.1990102,99.1686009,95.9086551,0.358807159953286,100,3.98927086065601,0,1.60433705394653,3,3,2,11.9,98.73229,92.89657,95.35183,85.5744,0.99935,163.029368892207,61,34.63,20.00057,22.15446,0.219,19.32248622,52.814310366,6.7,67.72,393.470819623971,3,1,1,4,40,0.578435378122351,4,,17.5,44,0.680398619608043,0.156319612712947,7.3,3,0.737265529614771,,13.05,0.0736696,0,0,8,98.7,95.4,85.6,0.001,100.0,393.5,0,0
"Tunisia","TUN",68.00,82.17,74.60,47.23,97.06,89.19,76.23,66.22,90.80,71.35,69.96,66.29,67.74,64.16,32.01,25.03,5,3,62.020199295388,14,64.96261,82.0104906,93.2040547,91.5946671,0.259675259339031,100,4.83527329753589,1.450693658,3.06773553337572,3,3,3,24.4,81.77949,98.56518,107.308,78.2512,1.04599,128.485767478863,46.16,38.68,20.74825,17.21227,0.14,3.143848921,40.811918691,44.1,61.04,275.800156989303,1,1,1,4,40,0.68116889949156,2,0.02,71.4,38,0.576684513461351,0.04193508893917,7.8,2,0.602637008092775,0.52320259809494,9.1,0.3457692,0,0,8,81.8,100.0,78.3,0.046,100.0,275.8,0,0
"Macedonia","MKD",67.88,87.69,70.29,45.67,99.16,94.30,81.71,75.61,87.11,77.86,59.77,56.40,49.98,51.33,41.40,39.96,5,8,7.55305804941659,5.5,16.89418,91.9217296,98.8764306,90.9111339,0.545086809681261,100,4.80298147741354,0,1.03666264538658,3,3,2,9.4,97.82632,83.1576,85.478,78.89102,0.97905,105.501950736898,68.06,36.26,19.32906,22.10894,0.194,7.729356603,49.578049758,4.445,72.3,517.748468346961,4,0,2,3,35,0.617550284635353,3,0.07,25,42,0.49985792390201,0.092047688295883,7,3,0.74070891018233,,12.74,0.10592,0,0,8,97.8,85.5,78.9,0.021,100.0,517.7,0,0
"Turkey","TUR",67.82,84.72,70.03,48.69,97.94,98.33,79.71,62.92,94.93,68.61,62.33,54.25,52.25,57.00,38.98,46.54,5,1,15.9466185600442,13.5,43.88609,100,100,94.871085,0.568972996478546,100,4.48539029060052,9.001969622,4.34862503232483,3,4,4,8.9,95.01062,92.90035,139.88639,95.42201,0.96826,94.7933027959168,51.04,44.16,20.88633,18.40422,0.276,5.070495673,37.77615667,31.554968,22.53,314.105779918543,3,1,0,4,40,0.638489375746857,1,0.1,59.8,42,0.528593441715983,0.196760045596339,9,2,0.8359854947177,0.361524492502213,8.76,0.1415618819,13,0.081188136720736,8,95.0,100.0,95.4,0.032,94.8,314.1,6,2
"South Africa","ZAF",67.60,66.95,68.23,67.61,87.00,72.96,66.02,41.84,85.62,78.50,45.63,63.19,75.15,75.73,66.40,53.14,5,13,138.046154103977,40.5,611.58799,72.6984463,81.3951663,66.3871416,0.51771036769324,85.4,2.87072287356412,28.197364295,31.8636576782243,5,4,4,25.1,94.26664,,94.91587,94.87046,1.26382,149.193517488526,49,22.06,16.52209,26.84861,0.288,13.12079388,30.523512042,32.49,75.06,714.215917764904,2,1,2,4,50,0.857969637307306,4,0.03,83,44,0.614614332663902,0.564164873870941,5.5,4,0.895256637977783,0.112387612462044,11.48,0.1606077,10,0.45736263439147,13,94.3,94.9,94.9,0.264,100.0,714.2,5,5
"Paraguay","PRY",67.44,78.95,69.19,54.18,91.49,89.28,69.16,65.89,85.34,72.46,62.36,56.61,58.57,64.76,62.21,31.18,10.4,71,131.724973218521,20.5,77.28754,82.9420462,94.9488216,88.5978869,0.522276551935409,98.2,3.3474488205982,44.953854698,8.89403423256482,3,3,3,20.7,95.56244,88.54507,84.21065,68.88447,1.06561,105.604533030992,43,33.74,21.39382,18.5038,0.259,7.551497663,34.29528195,0.735,78.94,790.19129333076,3,1,1,4,30,0.783594951453005,4,0.13,81.4,27,0.752134877639804,0.37352816344918,5.9,3,0.910202708206267,0.328243166208267,10.21,0.16213,0,0,71,95.6,84.2,68.9,0.066,100.0,790.2,0,0
